EID,First Name,Last Name,Street,City,State,Zip Code,SSN,DOB,Job Title,Salary,Start Date,End Date
112,John,Smith,43 Lexington Ave,Colonia,WA,37067,179-33-3333,6/27/1990,Engineer,150000,6/5/2021,12/12/2050
92,John,Gdovin,145 Jeffrey Road,Colonia,VA,37067,178-23-2023,7/7/2020,Engineer,90000,1/28/2019,12/12/2050
13,Jason,Mahajan,134 ABC way,Redmond,MI,88332,123-23-3343,6/27/1990,Engineer,80000,7/7/2019,6/7/2021
12,John ,Gdovin,21 Washington Way,Redmond,NJ,98007,145-33-2230,6/21/1972,Engineer,92000,9/8/2019,7/22/2021
32,Jonathan,Mason,1223 Willington Ave,Issaquah,NJ,98032,123-32-2922,7/22/1933,Engineer,210000,10/9/2019,7/9/2021
22,John,Smith,145 Jstop Ave,Texas,CA,98007,123-32-2923,6/21/1972,Specialist,10000,12/10/2019,12/12/2050
323342,Robert,Dmitry,222 Value St.,Redmond,MD,78900,123-32-2924,12/22/2000,Manager,55000,1/11/2019,10/29/2021
231,Robert,Downey,120 Ellis Way,Lexington,MO,98007,123-32-2925,6/27/1990,Trader,56000,10/9/2019,12/12/2050
546,Robert,Wicke,11 South Washington Street,Missiguala,MS,92416,123-32-2926,7/7/2020,Stock Associate,57000,12/10/2019,12/12/2050
254,Richard,Blaise,44 South Bay way,Thurston,AL,96431,123-32-2927,6/27/1990,Associate,58000,1/11/2019,6/7/2021
2158,Ernie,McCoy,22 Ocean Ave,Pierce,FL,37067,123-32-2928,6/21/1972,Controls Specialist,120000,10/9/2019,7/22/2021
246,Gary ,Stoop,65 Hampton Way,Oak Hurst,GA,37067,123-32-2929,7/22/1933,Electrical Engineer,45500,12/10/2019,7/9/2021
87,Frank ,Trowbridge,32 Ocean View Way,Thule,SC,88332,123-32-2930,6/21/1972,Mechanical Engineer,47000,1/11/2019,12/12/2050
9874,Luis,Mendes,34 Avon Way,Landing,AK,98007,123-32-2931,12/22/2000,Stocker ,49000,10/9/2019,10/29/2021
648,Jon ,Cook,3 Loreal St,West Heights,KY,98032,123-32-2932,6/27/1990,Warehouse Associate,50000,12/10/2019,12/12/2050
9764,Lester,Holt,3 MLK road,Yorktown,NC,98007,123-32-2933,7/7/2020,Janitor,79000,1/11/2019,12/12/2050
4164,Mike,Willis,34 Austrialia Ave,Lancaster,VA,78900,123-32-2934,6/27/1990,Technical Associate,84700,4/11/2018,6/7/2021
4643,Jason,Mason,323 Main st,New Egypt,PA,98007,123-32-2935,6/21/1972,Secretary,32400,3/11/2015,10/22/2021
45789,Willian,Kerr,3234 Souh Central,New England,VT,92416,123-32-2936,7/22/1933,Specialist,45000,4/21/2016,7/9/2021
6464,Zac,Peterson,23 Hyper Ct.,Harrison,ME,96431,123-32-2937,6/21/1972,Electrical Engineer,46100,1/11/2019,10/12/2021
6458,Jason,Maxwell,232 Landing,Duvall,RI,37067,123-32-2938,12/22/2000,Service Engineer,87000,4/11/2018,10/29/2021
4968,Leon,Lester,323 Main st,Snohomish,NH,37067,123-32-2939,6/27/1990,Engineer 3,50000,3/11/2015,12/12/2050
9786,Maxim,Junior,3234 Souh Central,Gold Bar,OH,88332,123-32-2940,7/7/2020,Warehouse Associate,71000,4/21/2016,12/12/2050
6876,Abraham,Lincoln,23 Hyper Ct.,Skykomish,MN,98007,123-32-2941,6/27/1990,Warehouse Associate,76590,1/11/2019,6/7/2021
9784,Mary,Ape,232 Landing,Leavenworth,MO,98032,123-32-2942,6/21/1972,Janitor,33000,4/11/2018,7/22/2021
